rank,Youtuber,subscribers,video views,video count,category,started
173,Sallys Welt,"2,140,000","723,724,785","1,989",Howto & Style,2011
174,Joey's Jungle,"2,140,000","953,915,232",494,Entertainment,2008
175,Liebscher & Bracht | Die Schmerzspezialisten,"2,110,000","378,794,661","1,686",Sports,2015
176,TEUFELSRAD,"2,100,000","849,645,095","1,630",Entertainment,2023
177,Crazy Ashley  Doll,"2,100,000","2,180,598,488","1,578",People & Blogs,2021
178,Jindaouis,"2,080,000","617,864,224",259,People & Blogs,2019
179,BavariaMedic,"2,070,000","909,206,523",258,People & Blogs,2015
180,Lehrerschmidt,"2,070,000","317,132,396","1,886",Education,2012
181,WELT Nachrichtensender,"2,060,000","3,908,137,594","59,465",Pets & Animals,2011
182,Little Baby Bum Deutsch,"2,060,000","868,120,020","1,296",Education,2014
183,C4D4U,"2,050,000","3,128,427,503",400,Film & Animation,2014
184,DER SPIEGEL,"2,040,000","2,126,050,512","11,705",People & Blogs,2006
185,CrispyRob,"2,040,000","379,790,371",375,Entertainment,2015
186,BastiGHG,"2,030,000","915,288,682","1,637",Gaming,2014
187,GreatScott!,"2,030,000","319,164,312",503,Science & Technology,2013
188,MASMAVİ3🔹MUTFAKTA,"2,010,000","498,013,005",660,Howto & Style,2015
189,Gewitter im Kopf - Leben mit Tourette,"2,010,000","353,192,054",454,People & Blogs,2015
190,Zig und Sharko,"2,010,000","848,838,884",953,Entertainment,2019
191,AGGRO.TV,"2,000,000","1,673,401,224","3,375",Entertainment,2006
192,Nirami,"2,000,000","1,353,903,346","2,583",Film & Animation,2012
193,makoccino,"1,990,000","174,265,052",417,Howto & Style,2011
194,Juan Bergman,"1,990,000","829,864,575",206,Entertainment,2024
195,KELLY //missesvlog,"1,980,000","437,819,574",791,People & Blogs,2010
196,Foodkagechris,"1,980,000","815,680,466",200,Howto & Style,2020
197,Reggaeville,"1,980,000","776,330,003","9,995",Entertainment,2008
198,Мастер Владислав,"1,980,000","530,055,958","1,398",People & Blogs,2014
199,Sturmwaffel,"1,970,000","751,429,781","5,342",Gaming,2013
200,tomatolix,"1,970,000","359,652,834",261,Entertainment,2010
201,Patrik Pietschmann,"1,970,000","635,744,635",115,Music,2013
202,Dima,"1,970,000","322,697,047",585,People & Blogs,2005
203,SciePro,"1,960,000","1,275,268,675",338,Science & Technology,2007
204,MNcompsJR,"1,960,000","158,617,612",103,Sports,2015
205,Disney Channel Deutschland,"1,950,000","1,611,851,631","6,211",Entertainment,2009
206,moviemaniacsDE,"1,950,000","2,278,235,583","10,012",Entertainment,2008
207,En Pocas Palabras – Kurzgesagt,"1,930,000","158,082,158",87,Education,2019
208,Leckere Minute,"1,930,000","359,655,248",614,People & Blogs,2020
209,HD1080ide,"1,920,000","1,221,530,508",478,https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2010
210,HeyMoritz,"1,920,000","811,209,116","1,465",Entertainment,2012
211,ViscaBarca,"1,910,000","470,041,734","1,101",Entertainment,2011
212,WildLens by Abrar,"1,910,000","396,261,555",554,Travel & Events,2008
213,Milky Chance Official,"1,890,000","1,962,209,253",440,Entertainment,2012
214,54vbz,"1,890,000","357,394,326",778,Entertainment,2014
215,The Real Life Guys,"1,880,000","371,067,441",264,People & Blogs,2016
216,Cac2us Games,"1,880,000","736,933,117",200,Gaming,2023
217,Filmbilder & Friends,"1,880,000","664,022,934",239,Film & Animation,2007
218,Sarazar,"1,880,000","601,662,404","3,981",Gaming,2010
219,Feuerwehrmann Sam,"1,870,000","1,265,671,384","1,971",Film & Animation,2016
220,Simplicissimus,"1,860,000","394,677,089",429,People & Blogs,2015
221,Immer Appetitlich,"1,850,000","306,893,977",819,People & Blogs,2021
222,Binzila,"1,850,000","90,071,346",176,Gaming,2022
223,Rodina 🇩🇪🇮🇶,"1,840,000","352,310,528",740,Howto & Style,2016
224,Kitesurfing Official,"1,840,000","2,318,912,357",840,Sports,2021
225,DestructionNation,"1,840,000","697,765,259",882,Gaming,2012
226,Digster Pop Music,"1,830,000","1,141,884,305",847,Entertainment,2014
227,Jay & Arya,"1,830,000","578,457,483",548,People & Blogs,2011
228,Nickelodeon Deutschland,"1,830,000","1,600,194,264","2,764",Entertainment,2012
229,ProgrammingKnowledge,"1,810,000","305,687,169","3,628",Education,2012
230,Melina Sophie,"1,810,000","1,016,055",1,Entertainment,2013
231,The Great War,"1,790,000","336,711,258",780,Education,2014
232,TheOftler,"1,770,000","358,201,459","1,159",People & Blogs,2011
233,WildBrain Deutsch,"1,750,000","600,760,757","2,888",Film & Animation,2017
234,xLaeta,"1,750,000","344,125,787",952,People & Blogs,2013
235,26Solmates magic,"1,750,000","412,581,978",250,Science & Technology,2016
236,mariogklauofficial,"1,740,000","738,545,908",400,Music,2016
237,Learn German,"1,740,000","124,701,908","1,070",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2016
238,Mexify,"1,740,000","336,355,616",390,Gaming,2012
239,Watch Movies Now!,"1,730,000","325,405,669",634,Film & Animation,2016
240,LIONTTV,"1,730,000","305,325,748",782,Comedy,2011
241,tagesschau,"1,730,000","1,516,853,810","27,227",News & Politics,2006
242,rezo,"1,720,000","195,009,608",47,Entertainment,2015
243,Merayad,"1,710,000","1,103,706,930","1,074",Sports,2020
244,ESL Counter-Strike,"1,710,000","593,157,196","3,598",Gaming,2016
245,LukeMockridgeTV,"1,710,000","1,008,036,370","1,709",Entertainment,2014
246,SpaceX Inc.,"1,710,000","20,571,411",0,Music,2011
247,Capi,"1,700,000","1,083,305,001","2,193",https://us.youtubers.me/germany/all/top-1000-most_subscribed-youtube-channels-in-germany,2016
248,HooplaKidz Deutsch - Kinderlieder auf Deutsch,"1,700,000","17,062,154","1,532",Education,2014
249,The Scientist Facts,"1,700,000","50,707,399",122,Howto & Style,2023
250,Paola Maria,"1,700,000","160,707,715",195,People & Blogs,2013
251,Little Angel Deutsch - Kinderlieder,"1,690,000","1,349,774,448",732,Entertainment,2019
